Indicador;Comunidad autónoma;Grupos de gasto;periodo;Total
TOTAL (Millones de euros);Canarias;Telefonía móvil y servicios relacionados con Internet;2019;209,7
TOTAL (Millones de euros);Canarias;Telefonía móvil y servicios relacionados con Internet;2018;222,4
TOTAL (Millones de euros);Canarias;Telefonía móvil y servicios relacionados con Internet;2017;258,7
TOTAL (Millones de euros);Canarias;Telefonía móvil y servicios relacionados con Internet;2016;247,6
TOTAL (Millones de euros);Cantabria;Libro y publicaciones periódicas;2023;27,4
TOTAL (Millones de euros);Cantabria;Libro y publicaciones periódicas;2022;22,2
TOTAL (Millones de euros);Cantabria;Libro y publicaciones periódicas;2021;24,2
TOTAL (Millones de euros);Cantabria;Libro y publicaciones periódicas;2020;22,2
TOTAL (Millones de euros);Cantabria;Libro y publicaciones periódicas;2019;33,1
TOTAL (Millones de euros);Cantabria;Libro y publicaciones periódicas;2018;32,9
TOTAL (Millones de euros);Cantabria;Libro y publicaciones periódicas;2017;39,4
TOTAL (Millones de euros);Cantabria;Libro y publicaciones periódicas;2016;41,8
TOTAL (Millones de euros);Cantabria;Servicios culturales;2023;19,6
TOTAL (Millones de euros);Cantabria;Servicios culturales;2022;13,7
TOTAL (Millones de euros);Cantabria;Servicios culturales;2021;12,1
TOTAL (Millones de euros);Cantabria;Servicios culturales;2020;9,3
TOTAL (Millones de euros);Cantabria;Servicios culturales;2019;27,6
TOTAL (Millones de euros);Cantabria;Servicios culturales;2018;24,6
TOTAL (Millones de euros);Cantabria;Servicios culturales;2017;28,0
TOTAL (Millones de euros);Cantabria;Servicios culturales;2016;33,0
TOTAL (Millones de euros);Cantabria;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2023;34,8
TOTAL (Millones de euros);Cantabria;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2022;34,2
TOTAL (Millones de euros);Cantabria;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2021;43,0
TOTAL (Millones de euros);Cantabria;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2020;32,6
TOTAL (Millones de euros);Cantabria;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2019;38,2
TOTAL (Millones de euros);Cantabria;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2018;43,4
TOTAL (Millones de euros);Cantabria;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2017;40,8
TOTAL (Millones de euros);Cantabria;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2016;32,0
TOTAL (Millones de euros);Cantabria;Telefonía móvil y servicios relacionados con Internet;2023;34,6
TOTAL (Millones de euros);Cantabria;Telefonía móvil y servicios relacionados con Internet;2022;42,6
TOTAL (Millones de euros);Cantabria;Telefonía móvil y servicios relacionados con Internet;2021;39,6
TOTAL (Millones de euros);Cantabria;Telefonía móvil y servicios relacionados con Internet;2020;36,9
TOTAL (Millones de euros);Cantabria;Telefonía móvil y servicios relacionados con Internet;2019;52,0
TOTAL (Millones de euros);Cantabria;Telefonía móvil y servicios relacionados con Internet;2018;51,3
TOTAL (Millones de euros);Cantabria;Telefonía móvil y servicios relacionados con Internet;2017;59,0
TOTAL (Millones de euros);Cantabria;Telefonía móvil y servicios relacionados con Internet;2016;60,4
TOTAL (Millones de euros);Castilla y León;Libro y publicaciones periódicas;2023;124,7
TOTAL (Millones de euros);Castilla y León;Libro y publicaciones periódicas;2022;148,0
TOTAL (Millones de euros);Castilla y León;Libro y publicaciones periódicas;2021;198,8
TOTAL (Millones de euros);Castilla y León;Libro y publicaciones periódicas;2020;162,1
TOTAL (Millones de euros);Castilla y León;Libro y publicaciones periódicas;2019;143,2
TOTAL (Millones de euros);Castilla y León;Libro y publicaciones periódicas;2018;156,7
TOTAL (Millones de euros);Castilla y León;Libro y publicaciones periódicas;2017;176,7
TOTAL (Millones de euros);Castilla y León;Libro y publicaciones periódicas;2016;192,9
TOTAL (Millones de euros);Castilla y León;Servicios culturales;2023;142,6
TOTAL (Millones de euros);Castilla y León;Servicios culturales;2022;82,1
TOTAL (Millones de euros);Castilla y León;Servicios culturales;2021;76,1
TOTAL (Millones de euros);Castilla y León;Servicios culturales;2020;32,5
TOTAL (Millones de euros);Castilla y León;Servicios culturales;2019;123,6
TOTAL (Millones de euros);Castilla y León;Servicios culturales;2018;187,9
TOTAL (Millones de euros);Castilla y León;Servicios culturales;2017;124,6
TOTAL (Millones de euros);Castilla y León;Servicios culturales;2016;146,4
TOTAL (Millones de euros);Castilla y León;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2023;170,3
TOTAL (Millones de euros);Castilla y León;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2022;142,1
TOTAL (Millones de euros);Castilla y León;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2021;178,9
