Indicador;Ingresos mensuales en el hogar;periodo;Total
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Entre 1.000 y 1.499 euros;2020;251,6
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Entre 1.000 y 1.499 euros;2019;307,3
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Entre 1.000 y 1.499 euros;2018;287,3
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Entre 1.000 y 1.499 euros;2017;323,8
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Entre 1.000 y 1.499 euros;2016;333,3
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Entre 1.500 y 1.999 euros;2023;296,6
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Entre 1.500 y 1.999 euros;2022;307,3
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Entre 1.500 y 1.999 euros;2021;299,3
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Entre 1.500 y 1.999 euros;2020;302,2
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Entre 1.500 y 1.999 euros;2019;358,4
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Entre 1.500 y 1.999 euros;2018;360,0
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Entre 1.500 y 1.999 euros;2017;398,3
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Entre 1.500 y 1.999 euros;2016;433,2
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Entre 2.000 y 2.499 euros;2023;324,3
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Entre 2.000 y 2.499 euros;2022;340,7
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Entre 2.000 y 2.499 euros;2021;330,6
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Entre 2.000 y 2.499 euros;2020;330,2
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Entre 2.000 y 2.499 euros;2019;375,2
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Entre 2.000 y 2.499 euros;2018;435,9
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Entre 2.000 y 2.499 euros;2017;453,1
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Entre 2.000 y 2.499 euros;2016;525,3
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Entre 2.500 y 2.999 euros;2023;352,7
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Entre 2.500 y 2.999 euros;2022;352,7
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Entre 2.500 y 2.999 euros;2021;349,9
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Entre 2.500 y 2.999 euros;2020;381,6
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Entre 2.500 y 2.999 euros;2019;454,7
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Entre 2.500 y 2.999 euros;2018;467,0
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Entre 2.500 y 2.999 euros;2017;491,0
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Entre 2.500 y 2.999 euros;2016;551,8
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);3.000 y más euros;2023;462,0
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);3.000 y más euros;2022;508,6
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);3.000 y más euros;2021;487,1
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);3.000 y más euros;2020;446,0
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);3.000 y más euros;2019;581,5
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);3.000 y más euros;2018;611,9
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);3.000 y más euros;2017;656,5
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);3.000 y más euros;2016;717,5
GASTO MEDIO POR PERSONA (Euros);Total;2023;235,5
GASTO MEDIO POR PERSONA (Euros);Total;2022;241,5
GASTO MEDIO POR PERSONA (Euros);Total;2021;230,0
GASTO MEDIO POR PERSONA (Euros);Total;2020;223,6
GASTO MEDIO POR PERSONA (Euros);Total;2019;266,9
GASTO MEDIO POR PERSONA (Euros);Total;2018;274,6
GASTO MEDIO POR PERSONA (Euros);Total;2017;288,6
GASTO MEDIO POR PERSONA (Euros);Total;2016;306,7
GASTO MEDIO POR PERSONA (Euros);Menos de 1.000 euros;2023;140,1
GASTO MEDIO POR PERSONA (Euros);Menos de 1.000 euros;2022;154,2
GASTO MEDIO POR PERSONA (Euros);Menos de 1.000 euros;2021;151,9
GASTO MEDIO POR PERSONA (Euros);Menos de 1.000 euros;2020;139,7
GASTO MEDIO POR PERSONA (Euros);Menos de 1.000 euros;2019;159,2
GASTO MEDIO POR PERSONA (Euros);Menos de 1.000 euros;2018;168,1
GASTO MEDIO POR PERSONA (Euros);Menos de 1.000 euros;2017;170,1
GASTO MEDIO POR PERSONA (Euros);Menos de 1.000 euros;2016;179,2
GASTO MEDIO POR PERSONA (Euros);Entre 1.000 y 1.499 euros;2023;178,0
GASTO MEDIO POR PERSONA (Euros);Entre 1.000 y 1.499 euros;2022;175,6
GASTO MEDIO POR PERSONA (Euros);Entre 1.000 y 1.499 euros;2021;166,5
GASTO MEDIO POR PERSONA (Euros);Entre 1.000 y 1.499 euros;2020;179,9
GASTO MEDIO POR PERSONA (Euros);Entre 1.000 y 1.499 euros;2019;219,4
GASTO MEDIO POR PERSONA (Euros);Entre 1.000 y 1.499 euros;2018;203,8
GASTO MEDIO POR PERSONA (Euros);Entre 1.000 y 1.499 euros;2017;227,9
GASTO MEDIO POR PERSONA (Euros);Entre 1.000 y 1.499 euros;2016;231,7
GASTO MEDIO POR PERSONA (Euros);Entre 1.500 y 1.999 euros;2023;211,0
GASTO MEDIO POR PERSONA (Euros);Entre 1.500 y 1.999 euros;2022;214,8
GASTO MEDIO POR PERSONA (Euros);Entre 1.500 y 1.999 euros;2021;207,8
GASTO MEDIO POR PERSONA (Euros);Entre 1.500 y 1.999 euros;2020;207,9
GASTO MEDIO POR PERSONA (Euros);Entre 1.500 y 1.999 euros;2019;243,4
GASTO MEDIO POR PERSONA (Euros);Entre 1.500 y 1.999 euros;2018;243,3
GASTO MEDIO POR PERSONA (Euros);Entre 1.500 y 1.999 euros;2017;268,0
GASTO MEDIO POR PERSONA (Euros);Entre 1.500 y 1.999 euros;2016;293,1
GASTO MEDIO POR PERSONA (Euros);Entre 2.000 y 2.499 euros;2023;219,7
GASTO MEDIO POR PERSONA (Euros);Entre 2.000 y 2.499 euros;2022;230,5
GASTO MEDIO POR PERSONA (Euros);Entre 2.000 y 2.499 euros;2021;220,8
GASTO MEDIO POR PERSONA (Euros);Entre 2.000 y 2.499 euros;2020;218,8
GASTO MEDIO POR PERSONA (Euros);Entre 2.000 y 2.499 euros;2019;248,2
GASTO MEDIO POR PERSONA (Euros);Entre 2.000 y 2.499 euros;2018;287,0
GASTO MEDIO POR PERSONA (Euros);Entre 2.000 y 2.499 euros;2017;298,9
GASTO MEDIO POR PERSONA (Euros);Entre 2.000 y 2.499 euros;2016;345,2
GASTO MEDIO POR PERSONA (Euros);Entre 2.500 y 2.999 euros;2023;232,7
GASTO MEDIO POR PERSONA (Euros);Entre 2.500 y 2.999 euros;2022;229,5
GASTO MEDIO POR PERSONA (Euros);Entre 2.500 y 2.999 euros;2021;228,3
GASTO MEDIO POR PERSONA (Euros);Entre 2.500 y 2.999 euros;2020;248,6
GASTO MEDIO POR PERSONA (Euros);Entre 2.500 y 2.999 euros;2019;290,7
GASTO MEDIO POR PERSONA (Euros);Entre 2.500 y 2.999 euros;2018;300,3
GASTO MEDIO POR PERSONA (Euros);Entre 2.500 y 2.999 euros;2017;315,0
GASTO MEDIO POR PERSONA (Euros);Entre 2.500 y 2.999 euros;2016;353,1
GASTO MEDIO POR PERSONA (Euros);3.000 y más euros;2023;290,4
GASTO MEDIO POR PERSONA (Euros);3.000 y más euros;2022;319,3
GASTO MEDIO POR PERSONA (Euros);3.000 y más euros;2021;305,6
GASTO MEDIO POR PERSONA (Euros);3.000 y más euros;2020;280,7
GASTO MEDIO POR PERSONA (Euros);3.000 y más euros;2019;365,1
GASTO MEDIO POR PERSONA (Euros);3.000 y más euros;2018;382,7
GASTO MEDIO POR PERSONA (Euros);3.000 y más euros;2017;410,3
GASTO MEDIO POR PERSONA (Euros);3.000 y más euros;2016;445,1
