Indicador;Comunidad autónoma;Grupo de gasto;periodo;Total
TOTAL (Millones de euros);Murcia (Región de);Libro;2022;64,5
TOTAL (Millones de euros);Murcia (Región de);Libro;2021;56,4
TOTAL (Millones de euros);Murcia (Región de);Libro;2020;45,4
TOTAL (Millones de euros);Murcia (Región de);Libro;2019;84,4
TOTAL (Millones de euros);Murcia (Región de);Libro;2018;62,2
TOTAL (Millones de euros);Murcia (Región de);Libro;2017;75,6
TOTAL (Millones de euros);Murcia (Región de);Libro;2016;73,3
TOTAL (Millones de euros);Murcia (Región de);Publicaciones periódicas;2023;2,0
TOTAL (Millones de euros);Murcia (Región de);Publicaciones periódicas;2022;4,8
TOTAL (Millones de euros);Murcia (Región de);Publicaciones periódicas;2021;6,5
TOTAL (Millones de euros);Murcia (Región de);Publicaciones periódicas;2020;5,9
TOTAL (Millones de euros);Murcia (Región de);Publicaciones periódicas;2019;12,6
TOTAL (Millones de euros);Murcia (Región de);Publicaciones periódicas;2018;11,8
TOTAL (Millones de euros);Murcia (Región de);Publicaciones periódicas;2017;14,6
TOTAL (Millones de euros);Murcia (Región de);Publicaciones periódicas;2016;24,2
TOTAL (Millones de euros);Navarra (Comunidad Foral de);Libro;2023;17,7
TOTAL (Millones de euros);Navarra (Comunidad Foral de);Libro;2022;22,8
TOTAL (Millones de euros);Navarra (Comunidad Foral de);Libro;2021;19,9
TOTAL (Millones de euros);Navarra (Comunidad Foral de);Libro;2020;17,8
TOTAL (Millones de euros);Navarra (Comunidad Foral de);Libro;2019;25,3
TOTAL (Millones de euros);Navarra (Comunidad Foral de);Libro;2018;31,1
TOTAL (Millones de euros);Navarra (Comunidad Foral de);Libro;2017;28,8
TOTAL (Millones de euros);Navarra (Comunidad Foral de);Libro;2016;29,9
TOTAL (Millones de euros);Navarra (Comunidad Foral de);Publicaciones periódicas;2023;17,8
TOTAL (Millones de euros);Navarra (Comunidad Foral de);Publicaciones periódicas;2022;19,7
TOTAL (Millones de euros);Navarra (Comunidad Foral de);Publicaciones periódicas;2021;21,6
TOTAL (Millones de euros);Navarra (Comunidad Foral de);Publicaciones periódicas;2020;24,3
TOTAL (Millones de euros);Navarra (Comunidad Foral de);Publicaciones periódicas;2019;19,7
TOTAL (Millones de euros);Navarra (Comunidad Foral de);Publicaciones periódicas;2018;23,4
TOTAL (Millones de euros);Navarra (Comunidad Foral de);Publicaciones periódicas;2017;27,2
TOTAL (Millones de euros);Navarra (Comunidad Foral de);Publicaciones periódicas;2016;27,5
TOTAL (Millones de euros);País Vasco;Libro;2023;67,8
TOTAL (Millones de euros);País Vasco;Libro;2022;82,3
TOTAL (Millones de euros);País Vasco;Libro;2021;79,7
TOTAL (Millones de euros);País Vasco;Libro;2020;79,0
TOTAL (Millones de euros);País Vasco;Libro;2019;73,6
TOTAL (Millones de euros);País Vasco;Libro;2018;80,3
TOTAL (Millones de euros);País Vasco;Libro;2017;80,2
TOTAL (Millones de euros);País Vasco;Libro;2016;106,5
TOTAL (Millones de euros);País Vasco;Publicaciones periódicas;2023;67,1
TOTAL (Millones de euros);País Vasco;Publicaciones periódicas;2022;61,9
TOTAL (Millones de euros);País Vasco;Publicaciones periódicas;2021;74,8
TOTAL (Millones de euros);País Vasco;Publicaciones periódicas;2020;83,7
TOTAL (Millones de euros);País Vasco;Publicaciones periódicas;2019;77,1
TOTAL (Millones de euros);País Vasco;Publicaciones periódicas;2018;82,7
TOTAL (Millones de euros);País Vasco;Publicaciones periódicas;2017;103,7
TOTAL (Millones de euros);País Vasco;Publicaciones periódicas;2016;95,1
TOTAL (Millones de euros);Rioja (La);Libro;2023;15,0
TOTAL (Millones de euros);Rioja (La);Libro;2022;15,7
TOTAL (Millones de euros);Rioja (La);Libro;2021;13,6
TOTAL (Millones de euros);Rioja (La);Libro;2020;17,2
TOTAL (Millones de euros);Rioja (La);Libro;2019;20,4
TOTAL (Millones de euros);Rioja (La);Libro;2018;15,8
TOTAL (Millones de euros);Rioja (La);Libro;2017;15,3
TOTAL (Millones de euros);Rioja (La);Libro;2016;15,3
TOTAL (Millones de euros);Rioja (La);Publicaciones periódicas;2023;3,3
TOTAL (Millones de euros);Rioja (La);Publicaciones periódicas;2022;3,3
TOTAL (Millones de euros);Rioja (La);Publicaciones periódicas;2021;4,4
TOTAL (Millones de euros);Rioja (La);Publicaciones periódicas;2020;4,7
TOTAL (Millones de euros);Rioja (La);Publicaciones periódicas;2019;5,1
TOTAL (Millones de euros);Rioja (La);Publicaciones periódicas;2018;5,8
TOTAL (Millones de euros);Rioja (La);Publicaciones periódicas;2017;5,7
TOTAL (Millones de euros);Rioja (La);Publicaciones periódicas;2016;7,2
TOTAL (Millones de euros);Ceuta y Melilla;Libro;2023;..
TOTAL (Millones de euros);Ceuta y Melilla;Libro;2022;..
TOTAL (Millones de euros);Ceuta y Melilla;Libro;2021;..
TOTAL (Millones de euros);Ceuta y Melilla;Libro;2020;..
TOTAL (Millones de euros);Ceuta y Melilla;Libro;2019;..
TOTAL (Millones de euros);Ceuta y Melilla;Libro;2018;..
TOTAL (Millones de euros);Ceuta y Melilla;Libro;2017;..
TOTAL (Millones de euros);Ceuta y Melilla;Libro;2016;..
TOTAL (Millones de euros);Ceuta y Melilla;Publicaciones periódicas;2023;..
TOTAL (Millones de euros);Ceuta y Melilla;Publicaciones periódicas;2022;..
TOTAL (Millones de euros);Ceuta y Melilla;Publicaciones periódicas;2021;..
TOTAL (Millones de euros);Ceuta y Melilla;Publicaciones periódicas;2020;..
TOTAL (Millones de euros);Ceuta y Melilla;Publicaciones periódicas;2019;..
TOTAL (Millones de euros);Ceuta y Melilla;Publicaciones periódicas;2018;..
TOTAL (Millones de euros);Ceuta y Melilla;Publicaciones periódicas;2017;..
TOTAL (Millones de euros);Ceuta y Melilla;Publicaciones periódicas;2016;..
GASTO MEDIO POR HOGAR (Euros);Andalucía;Libro;2023;54,0
GASTO MEDIO POR HOGAR (Euros);Andalucía;Libro;2022;46,5
GASTO MEDIO POR HOGAR (Euros);Andalucía;Libro;2021;59,9
GASTO MEDIO POR HOGAR (Euros);Andalucía;Libro;2020;44,6
GASTO MEDIO POR HOGAR (Euros);Andalucía;Libro;2019;47,6
GASTO MEDIO POR HOGAR (Euros);Andalucía;Libro;2018;61,0
GASTO MEDIO POR HOGAR (Euros);Andalucía;Libro;2017;61,3
GASTO MEDIO POR HOGAR (Euros);Andalucía;Libro;2016;76,4
GASTO MEDIO POR HOGAR (Euros);Andalucía;Publicaciones periódicas;2023;12,2
GASTO MEDIO POR HOGAR (Euros);Andalucía;Publicaciones periódicas;2022;9,4
GASTO MEDIO POR HOGAR (Euros);Andalucía;Publicaciones periódicas;2021;13,0
GASTO MEDIO POR HOGAR (Euros);Andalucía;Publicaciones periódicas;2020;12,6
GASTO MEDIO POR HOGAR (Euros);Andalucía;Publicaciones periódicas;2019;17,2
GASTO MEDIO POR HOGAR (Euros);Andalucía;Publicaciones periódicas;2018;21,1
GASTO MEDIO POR HOGAR (Euros);Andalucía;Publicaciones periódicas;2017;20,3
GASTO MEDIO POR HOGAR (Euros);Andalucía;Publicaciones periódicas;2016;25,2
GASTO MEDIO POR HOGAR (Euros);Aragón;Libro;2023;107,9
GASTO MEDIO POR HOGAR (Euros);Aragón;Libro;2022;125,4
GASTO MEDIO POR HOGAR (Euros);Aragón;Libro;2021;84,1
GASTO MEDIO POR HOGAR (Euros);Aragón;Libro;2020;118,1
GASTO MEDIO POR HOGAR (Euros);Aragón;Libro;2019;99,6
GASTO MEDIO POR HOGAR (Euros);Aragón;Libro;2018;104,2
GASTO MEDIO POR HOGAR (Euros);Aragón;Libro;2017;113,2
GASTO MEDIO POR HOGAR (Euros);Aragón;Libro;2016;114,7
GASTO MEDIO POR HOGAR (Euros);Aragón;Publicaciones periódicas;2023;32,9
GASTO MEDIO POR HOGAR (Euros);Aragón;Publicaciones periódicas;2022;31,4
GASTO MEDIO POR HOGAR (Euros);Aragón;Publicaciones periódicas;2021;30,0
GASTO MEDIO POR HOGAR (Euros);Aragón;Publicaciones periódicas;2020;41,1
GASTO MEDIO POR HOGAR (Euros);Aragón;Publicaciones periódicas;2019;44,1
GASTO MEDIO POR HOGAR (Euros);Aragón;Publicaciones periódicas;2018;45,2
GASTO MEDIO POR HOGAR (Euros);Aragón;Publicaciones periódicas;2017;48,7
GASTO MEDIO POR HOGAR (Euros);Aragón;Publicaciones periódicas;2016;56,6
GASTO MEDIO POR HOGAR (Euros);Asturias (Principado de);Libro;2023;92,0
GASTO MEDIO POR HOGAR (Euros);Asturias (Principado de);Libro;2022;120,8
GASTO MEDIO POR HOGAR (Euros);Asturias (Principado de);Libro;2021;70,2
GASTO MEDIO POR HOGAR (Euros);Asturias (Principado de);Libro;2020;52,9
GASTO MEDIO POR HOGAR (Euros);Asturias (Principado de);Libro;2019;70,4
GASTO MEDIO POR HOGAR (Euros);Asturias (Principado de);Libro;2018;76,9
GASTO MEDIO POR HOGAR (Euros);Asturias (Principado de);Libro;2017;102,5
GASTO MEDIO POR HOGAR (Euros);Asturias (Principado de);Libro;2016;114,2
GASTO MEDIO POR HOGAR (Euros);Asturias (Principado de);Publicaciones periódicas;2023;33,3
